124
0 1 Vacuum
1 2 Skin
2 4 Adiposesubcutaneou
4 5 Eyes
5 6 Lensofeye
6 7 Muscle
7 8 Brain
8 9 Spinalchord
9 10 Adrenals
10 12 Lungs
12 13 Pancreas
13 14 Liver
14 15 Kidneys
15 16 Thymus
16 17 Spleen
17 18 Nasalpassage
18 19 Tongue
19 20 Oralcavity
20 21 Salivaryglandssubmandibular
21 22 Salivaryglandsparotid
22 24 Salivaryglandssublingual
24 26 Farynx+Larynx
26 27 Oesophagus
27 28 Trachea
28 29 Thyroid
29 30 Bronchi
30 32 Gallbladdercontents
32 34 Stomachcontents
34 36 Smallintestinecontents
36 38 Coloncontents
38 39 Urinarybladdercontents
39 41 Uterus
41 42 Lymphaticnodes
42 43 Softtissue
43 46 Periarticulartissue+tendons 
46 48 Glandulartissue
48 50 Blood
50 55 Adiposeabdominal(visceral)
55 89 Peritoneum
89 90 Gallbladderwall
90 91 Ovaries
91 93 Stomachwall
93 95 Smallintestinewall
95 97 Colonwall
97 98 Urinarybladderwall
98 99 Adiposebreasts
99 100 Heart
100 101 Teeth
101 102 Mandible,compactbone
102 103 Cranium,compactbone
103 104 Sternum,compactbone
104 105 Ribs,compactbone
105 106 Clavicleleft,compactbone
106 107 Clavicleright,compactbone
107 108 Scapulaleft,compactbone
108 109 Scapularight,compactbone
109 110 Cervicalspine,compactbone
110 111 Thorarcicspine,compactbone
111 112 Lumbarspine,compactbone
112 113 Sacrum,compactbone
113 114 Pelvis,compactbone
114 115 Humeroleft,compactbone
115 116 Radius+Ulnaleft,compactbone
116 117 Handleft,compactbone
117 118 Humeroright,compactbone
118 119 Radius+Ulnaright,compactbone
119 120 Handright,compactbone
120 121 Femurleft,compactbone
121 122 Patelaleft,compactbone
122 123 Tibia+Fibulaleft,compactbone
123 124 Footleft,compactbone
124 125 Femurright,compactbone
125 126 Patelaright,compactbone
126 127 Tibia+Fibularight,compactbone 
127 128 Footright,compactbone
128 131 Hioide,compactbone 
131 132 Mandible,spongiosa
132 133 Cranium,spongiosa
133 134 Sternum,spongiosa
134 135 Ribs,spongiosa
135 136 Clavicleleft,spongiosa
136 137 Clavicleright,spongiosa 
137 138 Scapulaleft,spongiosa
138 139 Scapularight,spongiosa
139 140 Cervicalspine,spongiosa
140 141 Thorarcicspine,spongiosa
141 142 Lumbarspine,spongiosa
142 143 Sacrum,spongiosa
143 144 Pelvis,spongiosa
144 145 Humeroleft,spongiosaupperpart
145 146 Radius+Ulnaleft,spongiosa
146 147 Handleft,spongiosa
147 148 Humeroright,spongiosaupperpart
148 149 Radius+Ulnaright,spongiosa
149 150 Handright,spongiosa
150 151 Femurleft,spongiosaupperpart
151 152 Patelaleft,spongiosa
152 153 Tibia+Fibulaleft,spongiosa
153 154 Footleft,spongiosa
154 155 Femurright,spongiosaupperpart
155 156 Patelaright,spongiosa
156 157 Tibia+Fibularight,spongiosa
157 161 Footright,spongiosa
161 162 Humeroleft,medullaryyellowmarrow
162 163 Radius+Ulnaleft,medullaryyellowmarrow
163 164 Humeroright,medullaryyellowmarrow
164 165 Radius+Ulnaright,medullaryyellowmarrow
165 166 Femurleft,medullaryyellowmarrow
166 167 Tibia+Fibulaleft,meddullaryyellowmarrow
167 168 Femurright,medullaryyellowmarrow
168 170 Tibia+Fibularight,medullaryyellowmarrow
170 171 Spine-intervertebraldisks
171 172 Trunk-cartilagearticular
172 173 Neck-cartilagethyroidandepiglot
173 174 Arms-cartilagearticular
174 175 Ribs-cartilagearticular
175 176 Head-cartilageears
176 177 Head-cartilagenose
177 180 Legs-cartilagearticular
180 182 Humeroleft-spongiosalowerpart
182 184 Humeroright-spongiosalowerpart
184 186 Femurleft-spongiosalowerpart
186 200 Femurright-spongiosalowerpart
200 200 Airinternal



