124
0 0 Vacuum
1 1 Skin
2 2 Adiposesubcutaneou
4 4 Eyes
5 5 Lensofeye
6 6 Muscle
7 7 Brain
8 8 Spinalchord
9 9 Adrenals
10 10 Lungs
12 12 Pancreas
13 13 Liver
14 14 Kidneys
15 15 Thymus
16 16 Spleen
17 17 Nasalpassage
18 18 Tongue
19 19 Oralcavity
20 20 Salivaryglandssubmandibular
21 21 Salivaryglandsparotid
22 22 Salivaryglandssublingual
24 24 Farynx+Larynx
26 26 Oesophagus
27 27 Trachea
28 28 Thyroid
29 29 Bronchi
30 30 Gallbladdercontents
32 32 Stomachcontents
34 34 Smallintestinecontents
36 36 Coloncontents
38 38 Urinarybladdercontents
39 39 Uterus
41 41 Lymphaticnodes
42 42 Softtissue
43 43 Periarticulartissue+tendons 
46 46 Glandulartissue
48 48 Blood
50 50 Adiposeabdominal(visceral)
55 55 Peritoneum
89 89 Gallbladderwall
90 90 Ovaries
91 91 Stomachwall
93 93 Smallintestinewall
95 95 Colonwall
97 97 Urinarybladderwall
98 98 Adiposebreasts
99 99 Heart
100 100 Teeth
101 101 Mandible,compactbone
102 102 Cranium,compactbone
103 103 Sternum,compactbone
104 104 Ribs,compactbone
105 105 Clavicleleft,compactbone
106 106 Clavicleright,compactbone
107 107 Scapulaleft,compactbone
108 108 Scapularight,compactbone
109 109 Cervicalspine,compactbone
110 110 Thorarcicspine,compactbone
111 111 Lumbarspine,compactbone
112 112 Sacrum,compactbone
113 113 Pelvis,compactbone
114 114 Humeroleft,compactbone
115 115 Radius+Ulnaleft,compactbone
116 116 Handleft,compactbone
117 117 Humeroright,compactbone
118 118 Radius+Ulnaright,compactbone
119 119 Handright,compactbone
120 120 Femurleft,compactbone
121 121 Patelaleft,compactbone
122 122 Tibia+Fibulaleft,compactbone
123 123 Footleft,compactbone
124 124 Femurright,compactbone
125 125 Patelaright,compactbone
126 126 Tibia+Fibularight,compactbone 
127 127 Footright,compactbone
128 128 Hioide,compactbone 
131 131 Mandible,spongiosa
132 132 Cranium,spongiosa
133 133 Sternum,spongiosa
134 134 Ribs,spongiosa
135 135 Clavicleleft,spongiosa
136 136 Clavicleright,spongiosa 
137 137 Scapulaleft,spongiosa
138 138 Scapularight,spongiosa
139 139 Cervicalspine,spongiosa
140 140 Thorarcicspine,spongiosa
141 141 Lumbarspine,spongiosa
142 142 Sacrum,spongiosa
143 143 Pelvis,spongiosa
144 144 Humeroleft,spongiosaupperpart
145 145 Radius+Ulnaleft,spongiosa
146 146 Handleft,spongiosa
147 147 Humeroright,spongiosaupperpart
148 148 Radius+Ulnaright,spongiosa
149 149 Handright,spongiosa
150 150 Femurleft,spongiosaupperpart
151 151 Patelaleft,spongiosa
152 152 Tibia+Fibulaleft,spongiosa
153 153 Footleft,spongiosa
154 154 Femurright,spongiosaupperpart
155 155 Patelaright,spongiosa
156 156 Tibia+Fibularight,spongiosa
157 157 Footright,spongiosa
161 161 Humeroleft,medullaryyellowmarrow
162 162 Radius+Ulnaleft,medullaryyellowmarrow
163 163 Humeroright,medullaryyellowmarrow
164 164 Radius+Ulnaright,medullaryyellowmarrow
165 165 Femurleft,medullaryyellowmarrow
166 166 Tibia+Fibulaleft,meddullaryyellowmarrow
167 167 Femurright,medullaryyellowmarrow
168 168 Tibia+Fibularight,medullaryyellowmarrow
170 170 Spine-intervertebraldisks
171 171 Trunk-cartilagearticular
172 172 Neck-cartilagethyroidandepiglot
173 173 Arms-cartilagearticular
174 174 Ribs-cartilagearticular
175 175 Head-cartilageears
176 176 Head-cartilagenose
177 177 Legs-cartilagearticular
180 180 Humeroleft-spongiosalowerpart
182 182 Humeroright-spongiosalowerpart
184 184 Femurleft-spongiosalowerpart
186 186 Femurright-spongiosalowerpart
200 200 Airinternal



